,training material,,,organization of event,,,advantages of onboarding,,,challenges of onboarding,,,
Codes,workflow,best practices,vision / objectives,agenda,Environment / supports,format,to ecosystem/project,to individual,to company,to ecosystem/project,to individual,to company,MISC
active participation,,,,,,E/A,,,,,,,
activities that groom new contributors to be productive,,,,,,,E/A,E/A,,,,,
add requested code changes,E/A,,,,,,,,,,,,
add value to ecosystem/project,,,,,,,E/A,,,,,,
address code review comments,,E/A,,,,,,,,,,,
align project selection with personal interests,,,E/A,,,,,,,,,,
Assigning tasks to participants,,,,E/A,,,,,,,,,
attend regular meetings,,E/A,,,,,A,,,,,,
attract contributors,,,,,,,E/A,E/A,,,,,
availability of mentors,,,,,E/A,,,,,,,,
begin task,E,,,,,,,,,,,,
benefit of smaller commits,,E/A,,,,,,,,,,,
best practices for contributors encouraged within ecosystem project teams,,E/A,,,,,,,,,,,
breakout sessions,,,,,,E/A,,,,,,,
bug fix,E/A,,,,,,,,,,,,
bug fix workflow,E/A,,,,,,,,,,,,
bug identification,E/A,,,,,,,,,,,,
bug triaging,E/A,,,,,,,,,,,,
Build a network within your project team,,E/A,,,,,,E/A,,,,,
building expertise,,,,,,,,E/A,,,,,
changes trigger CI,E/A,,,,,,,,,,,,
code review,E/A,,,,,,,,,,,,
coding activities,E/A,,,,,,,,,,,,
collaborative,,,,,,E,A,A,,,,,
commit and push changes,E/A,,,,,,,,,,,,
commit message best practices,,E/A,,,,,,,,,,,
communicate,,E,,,,,,,,,,,
communicating values to ease work progress,,E/A,,,,,,,,,,,
communication channel,,,,,,,E/A,,,,,,
communication faciltate collaboration and productivity,,,,,,,E/A,,,,,,
"competing for rewards, +1, +2, -1, -2",,,,,,E/A,,,,,,,
consistent comments,,E/A,,,,,,,,,,,
contribute to OpenStack,,,E/A,,,,,,,,,,
contribution workfow,E/A,,,,,,,,,,,,
contributors exit project due to problems faced,,,,,,,,,,E/A,E/A,,
Coordinating,,,,,E/A,,,,,,,,
creating a  new branch in your local repo,E/A,,,,,,,,,,,,
creating account,E/A,,,,,,,,,,,,
