"","unweighted","equal","squared","H1","H2","H3","TESTIMONY1r1","TESTIMONY1r2","TESTIMONY2r1","TESTIMONY2r2","TESTIMONY3r1","TESTIMONY3r2","TESTIMONY4r1","TESTIMONY4r2","TASK1r1","TASK1r2","TASK2r1","TASK2r2","TASK3r1","TASK3r2","TASK4r1","TASK4r2","TASK5r1","TASK5r2","TASK6r1","TASK6r2","TASK7r1","TASK7r2","OVERVIEW1r1","OVERVIEW1r2","OVERVIEW2r1","OVERVIEW2r2"
"1",-0.114285714285714,-0.114285714285714,-0.114285714285714," Training Materials","Workflow","overview of contribution workflow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"2",-0.444444444444445,-0.444444444444445,-0.444444444444445," Training Materials","Workflow","Rely on documentation",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"3",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Workflow","make first contribution",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.297297297297297,0.297297297297297,0.297297297297297," Training Materials","Workflow","Executing test cases",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
"5",-0.181818181818182,-0.181818181818182,-0.181818181818182," Training Materials","Workflow","issues tracker/ bug fix workflow",0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Workflow","Code quality activities",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"7",-0.130434782608695,-0.130434782608695,-0.130434782608695," Training Materials","Workflow","Efforts required to make a contribution",0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",-0.0612244897959184,-0.0612244897959184,-0.0612244897959184," Training Materials","Workflow","Code review workflow (process/tool)",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
"9",-0.130434782608695,-0.130434782608695,-0.130434782608695," Training Materials","Workflow","Communication channel",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"10",-0.226415094339623,-0.226415094339623,-0.226415094339623," Training Materials","Workflow","New contributors building persona",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
"11",0.805970149253731,0.805970149253731,0.805970149253731," Training Materials","Workflow","CI/CD workflow",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"12",-0.226415094339623,-0.226415094339623,-0.226415094339623," Training Materials","Workflow","make first accepted contribution in ecosystem release",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",0.580645161290323,0.580645161290323,0.580645161290323," Training Materials","Workflow","version control (git) activities",0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"14",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Workflow","Importance of splitting commits.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"15",-0.140350877192983,-0.140350877192983,-0.140350877192983," Training Materials","Workflow","Mentors assigned activities",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"16",1,1,1," Training Materials","Workflow","feature design workflow",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Workflow","new contributors building persona",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0.161290322580645,0.161290322580645,0.161290322580645," Training Materials","Workflow","Overview of contribution process",0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"19",0.754716981132076,0.754716981132076,0.754716981132076," Training Materials","Workflow","Work culture and personal preference",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"20",1,1,1," Training Materials","Workflow","Demonstration by examples",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Best practices","attend regular meetings",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Best practices","select project based on strengths and weaknesses",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Best practices","feature design best practices",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"24",0.831168831168831,0.831168831168831,0.831168831168831," Training Materials","Best practices","Demonstration best practices",0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
"25",1,1,1," Training Materials","Best practices","Rely on documentation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"26",0.264150943396226,0.264150943396226,0.264150943396226," Training Materials","Best practices","Quality assurance best practices",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"27",1,1,1," Training Materials","Best practices","commit message best practices",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0.417910447761194,0.417910447761194,0.417910447761194," Training Materials","Best practices","version control (git) activities",0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"29",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Best practices","Code review best practices",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",0.277777777777778,0.277777777777778,0.277777777777778," Training Materials","Best practices","Align to the community modus operandi",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
"31",1,1,1," Training Materials","Best practices","Vision/objectives",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"32",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Best practices","OUI purpose",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"33",0.831168831168831,0.831168831168831,0.831168831168831," Training Materials","Vision/objectives","Diversify and inclusive community",0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0
"34",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Vision/objectives","Gender diversity",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",-0.314606741573034,-0.314606741573034,-0.314606741573034," Training Materials","Vision/objectives","Technical diversity",1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0
"36",0.805970149253731,0.805970149253731,0.805970149253731," Training Materials","Vision/objectives","Corporate diversity",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
"37",0.628571428571429,0.628571428571429,0.628571428571429," Training Materials","Best practices","grow expertise within community",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"38",0.675,0.675,0.675," Training Materials","Best practices","self motivation overcomes barriers/frustrations",1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1
"39",0.754716981132076,0.754716981132076,0.754716981132076," Training Materials","Best practices","Project vs ecosystem",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"40",0.566666666666667,0.566666666666667,0.566666666666667," Training Materials","Best practices","Vast expertise needed for OpenStack projects",1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"41",1,1,1," Training Materials","Vision/objectives","OUI purpose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
"42",0.805970149253731,0.805970149253731,0.805970149253731," Training Materials","Vision/objectives","grow expertise within community",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
"43",1,1,1," Training Materials","Vision/objectives","self motivation overcomes barriers/frustrations",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
"44",0.365853658536585,0.365853658536585,0.365853658536585," Training Materials","Vision/objectives","Project vs ecosystem",1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1
"45",0.409090909090909,0.409090909090909,0.409090909090909," Training Materials","Vision/objectives","Vast expertise needed for OpenStack projects",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"46",0.648648648648649,0.648648648648649,0.648648648648649,"Organization of Training even","Agenda","activities that groom new contributors to be productive",0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
"47",1,1,1,"Organization of Training even","Agenda","Q/A session",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"48",0.434782608695652,0.434782608695652,0.434782608695652,"Organization of Training even","Agenda","Mentors introduction",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"49",0.409090909090909,0.409090909090909,0.409090909090909,"Organization of Training even","Agenda","Experts opinion on community norms",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"50",0.417910447761194,0.417910447761194,0.417910447761194,"Organization of Training even","Agenda","overview of contribution workflow",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
"51",0.628571428571429,0.628571428571429,0.628571428571429,"Organization of Training even","Agenda","mentor-assigned activities",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"52",0.133333333333333,0.133333333333333,0.133333333333333,"Organization of Training even","Agenda","Working Environment and configuration to facilitate contributions",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
"53",-0.0833333333333329,-0.0833333333333329,-0.0833333333333329,"Organization of Training even","Format","Communication channel",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",0.133333333333333,0.133333333333333,0.133333333333333,"Organization of Training even","Format","competing for reward",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"55",-0.130434782608695,-0.130434782608695,-0.130434782608695,"Organization of Training even","Format","Challenging activities",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"56",1,1,1,"Organization of Training even","Format","participants working independently",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"57",0.754716981132076,0.754716981132076,0.754716981132076,"Organization of Training even","Format","participants share experience from exercises",0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"58",0.805970149253731,0.805970149253731,0.805970149253731,"Organization of Training even","Format","Onboarding adapts to diverse learning methods",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0
"59",-0.130434782608695,-0.130434782608695,-0.130434782608695,"Organization of Training even","Format","participant and mentor seating (configuration)",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60",0.409090909090909,0.409090909090909,0.409090909090909,"Organization of Training even","Format","Timed activity",1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"61",0.628571428571429,0.628571428571429,0.628571428571429,"Organization of Training even","Format","Mentors/Mentee feedback",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",0.675,0.675,0.675,"Organization of Training even","Format","active participation",1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1
"63",0.628571428571429,0.628571428571429,0.628571428571429,"Advantages of Onboarding","To Ecosystem/Project","diverse contributions",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"64",0.264150943396226,0.264150943396226,0.264150943396226,"Advantages of Onboarding","To Ecosystem/Project","grow expertise within community",1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"65",0.754716981132076,0.754716981132076,0.754716981132076,"Advantages of Onboarding","To Ecosystem/Project","mentoring helps achieve long and short term goals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1
"66",0.493506493506494,0.493506493506494,0.493506493506494,"Advantages of Onboarding","To Ecosystem/Project","attract contributors",1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1
"67",1,1,1,"Advantages of Onboarding","To Ecosystem/Project","Ecosystem vs. projects-team specifics",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"68",0.264150943396226,0.264150943396226,0.264150943396226,"Advantages of Onboarding","To Ecosystem/Project","experts diverse knowledge build an inclusive ecosystem",1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"69",0.628571428571429,0.628571428571429,0.628571428571429,"Advantages of Onboarding","To Ecosystem/Project","onboarding adapts to diverse learning methods",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"70",0.754716981132076,0.754716981132076,0.754716981132076,"Advantages of Onboarding","To Ecosystem/Project","Self motivation and commitment overcomes barriers/frustrations",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
