,unweighted,equal,squared,H1,H2,H3,TESTIMONY1r1,TESTIMONY1r2,TESTIMONY2r1,TESTIMONY2r2,TESTIMONY3r1,TESTIMONY3r2,TESTIMONY4r1,TESTIMONY4r2,TASK1r1,TASK1r2,TASK2r1,TASK2r2,TASK3r1,TASK3r2,TASK4r1,TASK4r2,TASK5r1,TASK5r2,TASK6r1,TASK6r2,TASK7r1,TASK7r2,OVERVIEW1r1,OVERVIEW1r2,OVERVIEW2r1,OVERVIEW2r2
1,-0.114285714,-0.114285714,-0.114285714, Training Materials,Workflow,overview of contribution workflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2,-0.444444444,-0.444444444,-0.444444444, Training Materials,Workflow,Rely on documentation,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
3,0.628571429,0.628571429,0.628571429, Training Materials,Workflow,make first contribution,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.297297297,0.297297297,0.297297297, Training Materials,Workflow,Executing test cases,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1
5,-0.181818182,-0.181818182,-0.181818182, Training Materials,Workflow,issues tracker/ bug fix workflow,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0.628571429,0.628571429,0.628571429, Training Materials,Workflow,Code quality activities,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
7,-0.130434783,-0.130434783,-0.130434783, Training Materials,Workflow,Efforts required to make a contribution,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,-0.06122449,-0.06122449,-0.06122449, Training Materials,Workflow,Code review workflow (process/tool),0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0
9,-0.130434783,-0.130434783,-0.130434783, Training Materials,Workflow,Communication channel,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10,-0.226415094,-0.226415094,-0.226415094, Training Materials,Workflow,New contributors building persona,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
