Juno			Kilo			Liberty			Mitaka			Newton			Ocata			Pike		
ID	Cmt	Pjr	ID	Cmt	Pjr	ID	Cmt	Pjr	ID	Cmt	Pjr	ID	Cmt	Pjr	ID	Cmt	Pjr	ID	Cmt	Pjr
IP1	500	7	IP5	1417	2	OP11	528	20	OP4	639	45	OP19	1222	48	OP2	461	197	OP24	798	99
OP1	438	26	OP8	646	23	OP7	420	91	OP2	547	112	OP4	850	64	OP14	365	335	OP25	520	62
OP2	389	80	OP5	519	25	OP4	406	34	IP5	468	13	OP2	464	153	OP10	352	21	OP10	504	20
OP3	336	99	OP11	384	22	OP5	399	37	OP19	382	37	OP7	449	108	IP3	349	5	OP19	486	46
IP2	334	22	IP2	381	21	IP5	378	9	IP6	363	1	IP5	425	18	IP5	321	11	OP7	476	58
OP5	260	15	OP1	347	28	OP15	310	105	OP1	358	42	OP1	365	51	OP24	316	61	OP27	418	55
OP6	239	30	OP7	334	65	OP16	293	57	OP7	323	92	OP20	353	43	OP25	307	56	IP4	364	24
OP7	227	48	IP1	324	9	OP9	263	178	IP7	252	6	OP21	313	44	OP4	304	40	OP23	357	36
OP8	226	19	OP13	286	33	OOP28	262	22	OP15	252	24	OP22	287	47	OP7	284	36	OP4	355	65
OP9	22	27	OP6	270	24	OP18	25	35	OP28	25	26	IP2	268	49	OP26	276	43	OP15	33	26
