Categories,Commits,Events,Proportion,Density,Accept_Rate
Cat-1,641,Cactus,3.563,154.5598967,0.332341402
Cat-1,500,Cactus,2.78,123.4096698,0.373812625
Cat-1,495,Cactus,2.752,243.8628537,0.297
Cat-1,438,Cactus,2.435,289.924954,0.114168279
Cat-1,409,Cactus,2.274,215.806253,0.35654904
Cat-1,334,Cactus,1.857,260.5163005,0.517275
Cat-1,260,Cactus,1.445,281.7271062,0.517275
Cat-1,240,Cactus,1.334,174.0869744,0.517275
Cat-1,234,Cactus,1.301,160.4843098,0.339766938
Cat-1,226,Cactus,1.256,40.17447522,0.517275
Cat-1,225,Cactus,1.251,20.22744517,0.417661484
Cat-1,219,Cactus,1.217,101.9277388,0.14119547
Cat-1,219,Cactus,1.217,140.898722,0.357347584
Cat-1,217,Cactus,1.206,23.12384298,0.37531841
Cat-1,217,Cactus,1.206,99.47667992,0.464995928
Cat-1,198,Cactus,1.101,112.1478831,0.387727239
Cat-1,186,Cactus,1.034,274.5502629,0.262831171
Cat-1,184,Cactus,1.023,23.78691191,0.242496897
Cat-1,177,Cactus,0.984,76.05028867,0.517275
Cat-1,176,Cactus,0.978,159.2572104,0.159782743
Cat-1,172,Cactus,0.956,95.03048149,0.517275
Cat-1,171,Cactus,0.951,26.22827946,0.517275
Cat-1,166,Cactus,0.923,214.9543924,0.271964741
Cat-1,161,Cactus,0.895,146.7598224,0.490879585
Cat-1,156,Cactus,0.867,83.40623699,0.496237455
Cat-1,155,Cactus,0.862,160.9528657,0.165241141
Cat-1,154,Cactus,0.856,283.0921221,0.439688814
Cat-1,154,Cactus,0.856,35.9268349,0.435294488
Cat-1,152,Cactus,0.845,110.7938011,0.517275
Cat-1,152,Cactus,0.845,234.8043729,0.249246759
Cat-1,152,Cactus,0.845,68.07574597,0.282480594
Cat-1,150,Cactus,0.834,202.729922,0.508295504
Cat-1,150,Cactus,0.834,20.80060765,0.332383109
Cat-1,146,Cactus,0.812,124.9624387,0.442433607
Cat-1,142,Cactus,0.789,115.7378051,0.309985807
Cat-1,141,Cactus,0.784,265.4028228,0.517275
Cat-1,140,Cactus,0.778,96.28572469,0.443726103
Cat-1,140,Cactus,0.778,256.6179568,0.386107114
Cat-1,134,Cactus,0.745,247.3649336,0.517275
Cat-1,132,Cactus,0.734,192.9347215,0.30674226
Cat-1,132,Cactus,0.734,180.9464218,0.185925143
Cat-1,128,Cactus,0.712,198.5646935,0.351270859
Cat-1,126,Cactus,0.7,79.05190448,0.499875598
Cat-1,124,Cactus,0.689,156.5392698,0.384221134
Cat-1,119,Cactus,0.662,26.41125536,0.208596697
Cat-1,119,Cactus,0.662,160.509178,0.434159582
Cat-1,116,Cactus,0.645,226.6830204,0.517275
Cat-1,116,Cactus,0.645,155.5892658,0.477382307
Cat-1,113,Cactus,0.628,88.38802818,0.517275
Cat-1,111,Cactus,0.617,33.33202423,0.517275
Cat-1,108,Cactus,0.6,219.9795023,0.397449843
Cat-1,107,Cactus,0.595,58.65754553,0.227174091
Cat-1,105,Cactus,0.584,63.04530502,0.462706069
Cat-1,104,Cactus,0.578,75.81578946,0.413960474
Cat-1,104,Cactus,0.578,121.5395086,0.269036514
Cat-1,103,Cactus,0.573,172.8165005,0.517275
Cat-1,101,Cactus,0.561,204.4619645,0.284500355
Cat-1,101,Cactus,0.561,52.92451954,0.378993197
Cat-1,100,Cactus,0.556,289.0952785,0.517275
Cat-1,97,Cactus,0.539,273.9647364,0.517275
Cat-1,94,Cactus,0.523,38.92345538,0.306020638
Cat-1,1417,Diablo,6.027,295.2923077,0.332341402
Cat-1,646,Diablo,2.748,83.66425279,0.295437625
Cat-1,522,Diablo,2.22,184.4842184,0.297
Cat-1,384,Diablo,1.633,74.985188,0.114168279
Cat-1,381,Diablo,1.62,68.21135788,0.35654904
Cat-1,347,Diablo,1.476,47.85030131,0.517275
Cat-1,339,Diablo,1.442,204.5943939,0.517275
Cat-1,324,Diablo,1.378,232.6141199,0.517275
Cat-1,312,Diablo,1.327,256.3994024,0.339766938
Cat-1,291,Diablo,1.238,22.97593255,0.470266033
Cat-1,277,Diablo,1.178,31.55470248,0.417661484
Cat-1,270,Diablo,1.148,51.80284098,0.14119547
Cat-1,263,Diablo,1.119,278.3944843,0.357347584
Cat-1,251,Diablo,1.068,268.5579554,0.37531841
Cat-1,238,Diablo,1.012,299.8168477,0.464995928
Cat-1,228,Diablo,0.97,52.97301184,0.387727239
Cat-1,208,Diablo,0.885,79.71599814,0.262831171
Cat-1,194,Diablo,0.825,53.55911012,0.242496897
Cat-1,182,Diablo,0.774,297.3443664,0.517275
Cat-1,182,Diablo,0.774,144.7992029,0.159782743
Cat-1,181,Diablo,0.77,215.3004567,0.517275
Cat-1,180,Diablo,0.766,259.1735009,0.517275
Cat-1,177,Diablo,0.753,32.6465516,0.271964741
Cat-1,176,Diablo,0.749,287.2953291,0.490879585
Cat-1,175,Diablo,0.744,228.8550045,0.339487455
Cat-1,175,Diablo,0.744,258.8130123,0.165241141
Cat-1,175,Diablo,0.744,19.53983196,0.439688814
Cat-1,174,Diablo,0.74,189.1220034,0.435294488
Cat-1,169,Diablo,0.719,127.6707774,0.517275
Cat-1,168,Diablo,0.715,124.3115644,0.249246759
Cat-1,160,Diablo,0.681,15.64436437,0.282480594
Cat-1,156,Diablo,0.663,195.3562703,0.508295504
Cat-1,154,Diablo,0.655,77.49867801,0.332383109
Cat-1,153,Diablo,0.651,96.76441169,0.442433607
Cat-1,151,Diablo,0.642,279.2034305,0.309985807
Cat-1,149,Diablo,0.634,248.387534,0.274367532
Cat-1,149,Diablo,0.634,27.4828354,0.443726103
Cat-1,149,Diablo,0.634,95.86870413,0.386107114
Cat-1,144,Diablo,0.612,52.9816815,0.424145682
Cat-1,141,Diablo,0.6,70.3388329,0.30674226
Cat-1,138,Diablo,0.587,119.3038528,0.185925143
Cat-1,138,Diablo,0.587,72.63321271,0.351270859
Cat-1,136,Diablo,0.578,65.32545071,0.499875598
Cat-1,135,Diablo,0.574,263.6074822,0.384221134
Cat-1,135,Diablo,0.574,237.8352656,0.208596697
Cat-1,134,Diablo,0.57,91.66561611,0.434159582
Cat-1,134,Diablo,0.57,133.8171624,0.517275
Cat-1,132,Diablo,0.561,89.85095976,0.477382307
Cat-1,132,Diablo,0.561,116.8984413,0.517275
Cat-1,131,Diablo,0.557,252.7968162,0.517275
Cat-1,122,Diablo,0.519,281.4854281,0.397449843
Cat-1,122,Diablo,0.519,174.5531258,0.227174091
Cat-1,116,Diablo,0.493,231.3417501,0.342856856
Cat-1,115,Diablo,0.489,80.82841804,0.413960474
Cat-1,115,Diablo,0.489,89.84179623,0.269036514
Cat-1,114,Diablo,0.485,175.4653327,0.517275
Cat-1,113,Diablo,0.481,56.51310666,0.284500355
Cat-1,112,Diablo,0.476,89.33705558,0.378993197
Cat-1,112,Diablo,0.476,187.415756,0.517275
Cat-1,111,Diablo,0.472,162.7039786,0.402705244
Cat-1,109,Diablo,0.464,196.8694083,0.306020638
Cat-1,528,Essex,3.055,241.4561868,0.332341402
Cat-1,425,Essex,2.459,189.2823459,0.373812625
Cat-1,406,Essex,2.349,70.0218426,0.297
Cat-1,404,Essex,2.337,67.16007366,0.114168279
Cat-1,378,Essex,2.187,293.4520275,0.35654904
Cat-1,367,Essex,2.123,68.93409958,0.345464308
Cat-1,310,Essex,1.794,281.5516028,0.517275
Cat-1,302,Essex,1.747,20.72073155,0.260172845
Cat-1,270,Essex,1.562,49.45429863,0.339766938
Cat-1,262,Essex,1.516,70.50369062,0.517275
Cat-1,255,Essex,1.475,258.9141872,0.417661484
Cat-1,252,Essex,1.458,198.3316054,0.14119547
Cat-1,247,Essex,1.429,158.8738302,0.357347584
Cat-1,247,Essex,1.429,364.953664,0.37531841
Cat-1,245,Essex,1.418,183.9824833,0.386620928
Cat-1,228,Essex,1.319,212.8037838,0.309352239
Cat-1,219,Essex,1.267,45.35746327,0.262831171
Cat-1,213,Essex,1.232,315.8630608,0.242496897
Cat-1,203,Essex,1.175,91.89009875,0.517275
Cat-1,180,Essex,1.041,338.2235597,0.159782743
Cat-1,179,Essex,1.036,47.92124918,0.517275
Cat-1,178,Essex,1.03,208.2668705,0.517275
Cat-1,171,Essex,0.989,151.9881202,0.271964741
Cat-1,168,Essex,0.972,210.5930147,0.490879585
Cat-1,166,Essex,0.96,84.13906658,0.496237455
Cat-1,165,Essex,0.955,244.345942,0.165241141
Cat-1,153,Essex,0.885,188.1090486,0.439688814
Cat-1,151,Essex,0.874,198.7254434,0.435294488
Cat-1,150,Essex,0.868,149.2148541,0.517275
Cat-1,150,Essex,0.868,131.5385676,0.249246759
Cat-1,150,Essex,0.868,213.6401344,0.282480594
Cat-1,146,Essex,0.845,225.0764226,0.508295504
Cat-1,146,Essex,0.845,243.7221982,0.332383109
Cat-1,145,Essex,0.839,223.7493702,0.442433607
Cat-1,144,Essex,0.833,296.3788245,0.309985807
Cat-1,139,Essex,0.804,146.2906995,0.517275
Cat-1,138,Essex,0.798,276.2949836,0.443726103
Cat-1,136,Essex,0.787,266.8337732,0.386107114
Cat-1,135,Essex,0.781,296.0625551,0.517275
Cat-1,134,Essex,0.775,139.4093934,0.30674226
Cat-1,132,Essex,0.764,46.31645069,0.185925143
Cat-1,130,Essex,0.752,96.60013047,0.351270859
Cat-1,127,Essex,0.735,251.619185,0.499875598
Cat-1,119,Essex,0.689,347.145868,0.384221134
Cat-1,116,Essex,0.671,39.08707288,0.208596697
Cat-1,115,Essex,0.665,71.90569351,0.434159582
Cat-1,115,Essex,0.665,74.74769659,0.517275
Cat-1,114,Essex,0.66,47.48379882,0.477382307
Cat-1,112,Essex,0.648,22.37408902,0.517275
Cat-1,112,Essex,0.648,131.2247723,0.215496451
Cat-1,111,Essex,0.642,24.33946868,0.397449843
Cat-1,109,Essex,0.631,178.9653347,0.227174091
Cat-1,109,Essex,0.631,163.1102194,0.462706069
Cat-1,106,Essex,0.613,27.8436905,0.413960474
Cat-1,104,Essex,0.602,193.6929227,0.269036514
Cat-1,103,Essex,0.596,222.277138,0.424570351
Cat-1,102,Essex,0.59,44.48660534,0.284500355
Cat-1,101,Essex,0.584,290.948948,0.378993197
Cat-1,100,Essex,0.579,191.8512658,0.517275
Cat-1,100,Essex,0.579,224.6488147,0.481080244
Cat-1,99,Essex,0.573,59.1399468,0.306020638
Cat-1,649,Folsom,3.526,149.7443638,0.332341402
Cat-1,639,Folsom,3.471,279.4670568,0.373812625
Cat-1,469,Folsom,2.548,70.03475545,0.297
Cat-1,383,Folsom,2.081,38.18214762,0.114168279
Cat-1,363,Folsom,1.972,48.13880172,0.35654904
Cat-1,357,Folsom,1.939,276.4742027,0.345464308
Cat-1,323,Folsom,1.755,178.0986444,0.517275
Cat-1,286,Folsom,1.554,211.5809753,0.260172845
Cat-1,268,Folsom,1.456,27.46603438,0.339766938
Cat-1,252,Folsom,1.369,249.8802753,0.274328533
Cat-1,252,Folsom,1.369,259.6470549,0.417661484
Cat-1,250,Folsom,1.358,224.8677734,0.14119547
Cat-1,230,Folsom,1.249,251.8074509,0.357347584
Cat-1,227,Folsom,1.233,34.47303284,0.37531841
Cat-1,222,Folsom,1.206,207.8623287,0.386620928
Cat-1,219,Folsom,1.19,324.5088125,0.309352239
Cat-1,211,Folsom,1.146,74.43511461,0.262831171
Cat-1,205,Folsom,1.114,96.82538229,0.242496897
Cat-1,202,Folsom,1.097,56.85317721,0.517275
Cat-1,199,Folsom,1.081,225.9207602,0.159782743
Cat-1,195,Folsom,1.059,50.92081952,0.517275
Cat-1,187,Folsom,1.016,66.00893429,0.249698764
Cat-1,181,Folsom,0.983,227.1116923,0.271964741
Cat-1,173,Folsom,0.94,150.8905674,0.490879585
Cat-1,168,Folsom,0.913,114.6131294,0.496237455
Cat-1,163,Folsom,0.885,242.4645927,0.165241141
Cat-1,161,Folsom,0.875,275.2083409,0.439688814
Cat-1,149,Folsom,0.809,176.4154452,0.435294488
Cat-1,141,Folsom,0.766,281.6290626,0.517275
Cat-1,141,Folsom,0.766,170.4101955,0.249246759
Cat-1,139,Folsom,0.755,155.9195701,0.282480594
Cat-1,138,Folsom,0.75,194.3626819,0.508295504
Cat-1,136,Folsom,0.739,291.1267804,0.332383109
Cat-1,135,Folsom,0.733,217.3599549,0.442433607
Cat-1,132,Folsom,0.717,91.48061633,0.309985807
Cat-1,131,Folsom,0.712,238.6536037,0.517275
Cat-1,129,Folsom,0.701,158.786729,0.443726103
Cat-1,129,Folsom,0.701,279.1443801,0.386107114
Cat-1,127,Folsom,0.69,37.98074073,0.517275
Cat-1,126,Folsom,0.684,258.1942111,0.38511726
Cat-1,126,Folsom,0.684,282.7857984,0.264300143
Cat-1,125,Folsom,0.679,210.753306,0.429645859
Cat-1,123,Folsom,0.668,120.1739952,0.517275
Cat-1,122,Folsom,0.663,275.9398682,0.462596134
Cat-1,121,Folsom,0.657,261.1256582,0.286971697
Cat-1,118,Folsom,0.641,260.1965353,0.512534582
Cat-1,117,Folsom,0.636,47.23852292,0.517275
Cat-1,117,Folsom,0.636,70.95953929,0.517275
Cat-1,117,Folsom,0.636,106.0034054,0.517275
Cat-1,117,Folsom,0.636,214.8406294,0.293871451
Cat-1,116,Folsom,0.63,249.9509789,0.475824843
Cat-1,115,Folsom,0.625,152.248569,0.305549091
Cat-1,114,Folsom,0.619,271.1707088,0.517275
Cat-1,113,Folsom,0.614,260.6241116,0.492335474
Cat-1,113,Folsom,0.614,221.8196338,0.347411514
Cat-1,113,Folsom,0.614,353.5591757,0.502945351
Cat-1,111,Folsom,0.603,154.495661,0.362875355
Cat-1,110,Folsom,0.598,234.1395811,0.457368197
Cat-1,109,Folsom,0.592,231.2285295,0.517275
Cat-1,108,Folsom,0.587,294.6125689,0.517275
Cat-1,107,Folsom,0.581,119.119514,0.384395638
Cat-1,1259,Grizzly,5.422,200.4095816,0.332341402
Cat-1,850,Grizzly,3.66,139.1321252,0.373812625
Cat-1,515,Grizzly,2.218,234.5006567,0.297
Cat-1,449,Grizzly,1.934,59.40569419,0.114168279
Cat-1,426,Grizzly,1.834,301.0299847,0.35654904
Cat-1,367,Grizzly,1.58,130.0830331,0.345464308
Cat-1,366,Grizzly,1.576,31.28138161,0.517275
Cat-1,363,Grizzly,1.563,161.4766631,0.260172845
Cat-1,321,Grizzly,1.382,133.3886109,0.339766938
Cat-1,287,Grizzly,1.236,198.7630977,0.274328533
Cat-1,268,Grizzly,1.154,39.27327914,0.417661484
Cat-1,250,Grizzly,1.077,84.03245187,0.14119547
Cat-1,240,Grizzly,1.034,283.7292934,0.357347584
Cat-1,230,Grizzly,0.99,56.11140513,0.37531841
Cat-1,226,Grizzly,0.973,279.8732392,0.386620928
Cat-1,220,Grizzly,0.947,128.3274243,0.309352239
Cat-1,219,Grizzly,0.943,261.011278,0.262831171
Cat-1,213,Grizzly,0.917,96.56875985,0.242496897
Cat-1,204,Grizzly,0.878,38.72614927,0.517275
Cat-1,202,Grizzly,0.87,65.69873778,0.159782743
Cat-1,197,Grizzly,0.848,188.948668,0.517275
Cat-1,195,Grizzly,0.84,236.9035076,0.249698764
Cat-1,192,Grizzly,0.827,111.271406,0.271964741
Cat-1,182,Grizzly,0.784,22.17620524,0.490879585
Cat-1,176,Grizzly,0.758,83.04991088,0.496237455
Cat-1,165,Grizzly,0.711,99.89464863,0.165241141
Cat-1,165,Grizzly,0.711,178.2684855,0.439688814
Cat-1,163,Grizzly,0.702,45.08866344,0.435294488
Cat-1,160,Grizzly,0.689,253.3353674,0.517275
