Categories,Commits,Events,Proportion,Coommit_proo,LOC,Density,Accept_Rate,Density_Backup,Gender
Cat-2,641,Juno-14,5.16,3.563,554424,165.3047023,0.341803,886.7136,female
Cat-2,500,Juno-14,4.38,2.78,427169,115.3555441,0.35772,1238.561143,neutral
Cat-2,495,Juno-14,4.35,2.752,183409,260.8158863,0.28421,669.9215832,male
Cat-2,438,Juno-14,4.03,2.435,182027,310.0801647,0.10925,477.3856854,neutral
Cat-2,409,Juno-14,3.87,2.274,155035,230.8088267,0.3412,633.7683621,neutral
Cat-2,334,Juno-14,3.45,1.857,147356,278.6270594,0.3781,563.1011594,female
Cat-2,260,Juno-14,2.62,1.445,111787,301.312413,0.3291,627.223949,female
Cat-2,240,Juno-14,3.04,1.334,98705,161.7477862,0.549,175.9214458,neutral
Cat-2,234,Juno-14,2.93,1.301,92195,171.6409731,0.3251,241.1610626,neutral
Cat-2,226,Juno-14,2.9,1.256,86073,42.96735318,0.343,416.6198465,female
Cat-2,225,Juno-14,2.85,1.251,51673,21.6336312,0.3997,668.9754386,neutral
Cat-2,219,Juno-14,2.85,1.217,50281,109.0136244,0.1351,219.1841016,male
Cat-2,219,Juno-14,2.81,1.217,48836,150.6938203,0.342,904.9348537,neutral
Cat-2,217,Juno-14,2.81,1.206,48112,24.73138287,0.3592,402.3711462,neutral
Cat-2,217,Juno-14,2.8,1.206,45439,88.71179476,0.445,183.3085714,neutral
Cat-2,198,Juno-14,2.8,1.101,42482,119.94426,0.371,314.2939286,neutral
Cat-2,186,Juno-14,2.7,1.034,40671,293.6366448,0.2515,104.9221856,female
Cat-2,184,Juno-14,2.63,1.023,37191,25.4405475,0.2321,101.2600846,neutral
Cat-2,177,Juno-14,2.58,0.984,32569,81.33720713,0.576,95.21418103,male
Cat-2,176,Juno-14,2.57,0.978,31296,170.3285673,0.1529,473.6507559,male
Cat-2,172,Juno-14,2.55,0.956,30188,101.6368786,0.5885,926.7592157,male
Cat-2,171,Juno-14,2.55,0.951,30078,28.05163579,0.5389,125.5661135,male
Cat-2,166,Juno-14,2.52,0.923,29750,229.8977459,0.2603,657.847947,male
Cat-2,161,Juno-14,2.49,0.895,29002,156.9623769,0.4697,834.4615179,male
Cat-2,156,Juno-14,2.46,0.867,28838,89.20453154,0.4749,742.9290745,male
Cat-2,155,Juno-14,2.46,0.862,28439,172.1421023,0.1581,485.3976923,male
Cat-2,154,Juno-14,2.45,0.856,26141,302.7723231,0.4208,498.7106123,male
Cat-2,154,Juno-14,2.45,0.856,26116,38.42442235,0.4165,266.1404082,male
Cat-2,152,Juno-14,2.44,0.845,25577,97.56171829,0.5409,372.3572665,male
Cat-2,152,Juno-14,2.44,0.845,24829,251.1276715,0.2385,38.69056948,male
Cat-2,152,Juno-14,2.44,0.845,24801,65.07881407,0.2703,761.0190888,neutral
Cat-2,150,Juno-14,2.43,0.834,23935,216.823446,0.4864,685.6583066,neutral
Cat-2,150,Juno-14,2.43,0.834,23662,22.2466392,0.3181,110.0858581,neutral
Cat-2,146,Juno-14,2.41,0.812,22710,133.6496671,0.4234,133.7391686,male
Cat-2,142,Juno-14,2.38,0.789,17701,97.53320661,0.2966,271.7848951,male
Cat-2,141,Juno-14,2.38,0.784,17467,283.8532864,0.5801,824.1287383,male
Cat-2,140,Juno-14,2.37,0.778,16839,102.9793847,0.4246,528.5061358,male
Cat-2,140,Juno-14,2.37,0.778,16342,274.4577078,0.3695,580.3166276,neutral
Cat-2,134,Juno-14,2.34,0.745,16028,264.5614263,0.6309,752.7505938,neutral
Cat-2,132,Juno-14,2.33,0.734,15782,197.2211809,0.2935,617.3278282,neutral
Cat-2,132,Juno-14,2.33,0.734,15712,186.2359855,0.1779,586.5177566,male
Cat-2,128,Juno-14,2.31,0.712,15637,212.3686561,0.3361,923.1709879,male
Cat-2,126,Juno-14,2.3,0.7,14388,84.54749142,0.4783,444.7699758,male
Cat-2,124,Juno-14,2.28,0.689,14273,132.8202856,0.3677,105.1007299,neutral
Cat-2,119,Juno-14,2.26,0.662,13795,28.24733194,0.1996,227.5727586,neutral
Cat-2,119,Juno-14,2.26,0.662,13726,171.6675701,0.4155,60.14216749,male
Cat-2,116,Juno-14,2.24,0.645,13356,242.4417331,0.5139,462.1587097,neutral
Cat-2,116,Juno-14,2.24,0.645,12715,166.4056319,0.4568,398.872407,neutral
Cat-2,113,Juno-14,2.22,0.628,12610,75.35107434,0.538,50.0445,male
Cat-2,111,Juno-14,2.21,0.617,12576,35.64922378,0.5812,742.1689447,male
Cat-2,108,Juno-14,2.2,0.6,12519,235.272195,0.3803,243.6033418,male
Cat-2,107,Juno-14,2.19,0.595,12492,62.73534281,0.2174,118.331269,male
Cat-2,105,Juno-14,2.18,0.584,12246,67.42813371,0.4428,206.6390816,male
Cat-2,104,Juno-14,2.17,0.578,12146,76.83112732,0.3961,317.8532992,male
Cat-2,104,Juno-14,2.17,0.578,11196,129.9887792,0.2575,718.9959591,male
Cat-2,103,Juno-14,2.17,0.573,11163,184.8304818,0.3406,219.4998461,female
Cat-2,101,Juno-14,2.16,0.561,10992,218.6758979,0.2722,418.3589691,male
Cat-2,101,Juno-14,2.16,0.561,10906,49.19745386,0.3627,427.3190722,male
Cat-2,100,Juno-14,2.15,0.556,10888,309.1928112,0.3511,154.0897674,female
Cat-2,97,Juno-14,2.13,0.539,10792,293.0104133,0.3104,575.1225,female
Cat-2,94,Juno-14,2.12,0.523,10713,41.62936404,0.2928,583.4234646,male
Cat-2,1417,KIlo-15,7.25,6.027,176250,259.7588905,0.31803,355.5661268,male
Cat-2,646,KIlo-15,3.97,2.748,127965,80.3871794,0.28272,900.0924116,male
Cat-2,522,KIlo-15,3.44,2.22,123267,197.3093245,0.28421,704.0790111,male
Cat-2,384,KIlo-15,2.85,1.633,93653,80.19806203,0.10925,270.7242921,male
Cat-2,381,KIlo-15,2.84,1.62,92563,72.95332394,0.3412,779.5894311,male
Cat-2,347,KIlo-15,2.7,1.476,82988,51.17679284,0.2781,767.6608202,female
Cat-2,339,KIlo-15,2.66,1.442,81685,218.8175336,0.3291,759.8653994,female
Cat-2,324,KIlo-15,2.6,1.378,63413,248.785155,0.349,592.0144026,female
Cat-2,312,KIlo-15,2.55,1.327,61106,251.6097911,0.3251,914.6449082,male
Cat-2,291,KIlo-15,2.46,1.238,59299,24.57318989,0.45,201.82391,male
Cat-2,277,KIlo-15,2.4,1.178,57031,33.7483449,0.3997,410.3971277,male
Cat-2,270,KIlo-15,2.37,1.148,53934,55.404108,0.1351,479.3050987,male
Cat-2,263,KIlo-15,2.34,1.119,52098,297.7481115,0.342,51.62661819,male
Cat-2,251,KIlo-15,2.29,1.068,50458,287.2277598,0.3592,360.0147212,neutral
Cat-2,238,KIlo-15,2.23,1.012,47407,320.6597302,0.445,904.4681143,male
Cat-2,228,KIlo-15,2.19,0.97,43905,56.65562764,0.371,710.6330097,male
Cat-2,208,KIlo-15,2.11,0.885,42023,85.25775202,0.2515,621.7192727,neutral
Cat-2,194,KIlo-15,2.05,0.825,40138,57.28247072,0.2321,419.3715592,neutral
Cat-2,182,KIlo-15,1.99,0.774,38400,274.5090594,0.276,311.6767164,female
Cat-2,182,KIlo-15,1.99,0.774,38395,154.8654577,0.1529,327.8747975,male
Cat-2,181,KIlo-15,1.99,0.77,37858,230.2678681,0.5885,543.3438462,neutral
Cat-2,180,KIlo-15,1.99,0.766,30970,277.19091,0.5389,57.06423983,neutral
Cat-2,177,KIlo-15,1.97,0.753,29761,34.91609797,0.2603,179.8048707,neutral
Cat-2,176,KIlo-15,1.97,0.749,27800,307.2677317,0.4697,153.5116199,neutral
Cat-2,175,KIlo-15,1.96,0.744,26937,244.7647107,0.3249,625.162987,neutral
Cat-2,175,KIlo-15,1.96,0.744,26061,276.8053608,0.1581,861.5216883,neutral
Cat-2,175,KIlo-15,1.96,0.744,25970,20.898216,0.4208,282.0662338,neutral
Cat-2,174,KIlo-15,1.96,0.74,25935,202.2695224,0.4165,858.9787419,male
Cat-2,169,KIlo-15,1.94,0.719,23945,110.8061627,0.5409,125.1856579,male
