Category,Events,Gender,SZZ_Call,Buggy,Tech_Diversity,ComMitaka,Effort,Affiliated,Active,SZZ,,,,
Cat-2,Juno,female,21.84,140,3,641,11,yes,yes,72.9,,,,
Cat-2,Juno,female,21.8,109,2,500,12,no,yes,9.43,,,,
Cat-2,Juno,male,22.02,109,2,495,1,no,yes,31.98,,,,
Cat-2,Juno,neutral,21.92,96,2,438,9,yes,yes,7.98,,,,
Cat-2,Juno,neutral,22,90,2,409,11,yes,yes,21.13,,,,
Cat-2,Juno,neutral,21.86,73,2,334,11,yes,yes,44.67,,,,
Cat-2,Juno,male,22.31,58,2,260,11,yes,yes,23.11,,,,
Cat-2,Juno,neutral,22.08,53,2,240,12,yes,yes,24.1,,,,
Cat-2,Juno,neutral,22.22,52,1,234,9,yes,yes,24.75,,,,
Cat-2,Juno,neutral,22.12,50,2,226,3,yes,yes,21.76,,,,
Cat-2,Juno,neutral,22.22,50,2,225,6,no,yes,11.21,,,,
Cat-2,Juno,female,22.37,49,1,219,9,no,yes,25.7,,,,
Cat-2,Juno,neutral,22.37,49,1,219,9,yes,yes,26.48,,,,
Cat-2,Juno,neutral,22.12,48,1,217,9,no,yes,42.65,,,,
Cat-2,Juno,neutral,22.12,48,1,217,9,yes,yes,23.2,,,,
Cat-2,Juno,neutral,22.22,44,1,198,14,no,yes,22.18,,,,
Cat-2,Juno,female,22.58,42,1,186,9,no,yes,20.72,,,,
Cat-2,Juno,female,22.28,41,1,184,5,no,yes,19.42,,,,
Cat-2,Juno,male,22.6,40,1,177,5,no,yes,26.23,,,,
Cat-2,Juno,male,22.73,40,1,176,5,no,yes,50.3,,,,
Cat-2,Juno,male,22.67,39,1,172,5,no,yes,21.5,,,,
Cat-2,Juno,male,22.22,38,1,171,5,no,yes,24.64,,,,
Cat-2,Juno,male,22.29,37,2,166,5,no,yes,23.52,,,,
Cat-2,Juno,male,22.36,36,2,161,1,no,yes,20.58,,,,
Cat-2,Juno,male,22.44,35,2,156,1,no,yes,26.34,,,,
Cat-2,Juno,male,22.58,35,2,155,1,no,yes,6.98,,,,
Cat-2,Juno,male,22.73,35,2,154,3,no,yes,20.06,,,,
Cat-2,Juno,male,22.73,35,2,154,3,no,yes,22.07,,,,
Cat-2,Juno,male,23.03,35,2,152,9,no,yes,22.45,,,,
Cat-2,Juno,male,23.03,35,2,152,9,no,yes,20.14,,,,
Cat-2,Juno,neutral,23.03,35,2,152,9,no,yes,27.62,,,,
Cat-2,Juno,neutral,22.67,34,2,150,5,no,yes,22.31,,,,
Cat-2,Juno,neutral,22.67,34,2,150,3,no,yes,21.84,,,,
Cat-2,Juno,male,22.6,33,2,146,1,no,yes,22.91,,,,
Cat-2,Juno,male,22.54,32,2,142,3,no,yes,27.67,,,,
Cat-2,Juno,male,22.7,32,2,141,5,no,yes,22.57,,,,
Cat-2,Juno,male,22.86,32,2,140,1,no,yes,23.33,,,,
Cat-2,Juno,neutral,22.86,32,2,140,5,no,yes,22.28,,,,
Cat-2,Juno,neutral,22.39,30,2,134,9,no,yes,27.36,,,,
Cat-2,Juno,neutral,22.73,30,2,132,9,no,yes,23.08,,,,
Cat-2,Juno,male,22.73,30,2,132,9,no,yes,24.49,,,,
Cat-2,Juno,male,22.66,29,2,128,14,no,yes,18.71,,,,
Cat-2,Juno,male,23.02,29,2,126,14,no,yes,24,,,,
Cat-2,Juno,neutral,22.58,28,2,124,14,yes,yes,20.12,,,,
Cat-2,Juno,neutral,22.69,27,2,119,14,yes,yes,22.81,,,,
Cat-2,Juno,male,22.69,27,2,119,14,no,yes,22.53,,,,
Cat-2,Juno,neutral,23.28,27,2,116,17,yes,yes,22.52,,,,
Cat-2,Juno,neutral,23.28,27,2,116,15,yes,yes,20.18,,,,
Cat-2,Juno,male,23.01,26,2,113,19,yes,yes,25.11,,,,
Cat-2,Juno,male,22.52,25,2,111,25,no,yes,24.87,,,,
Cat-2,Juno,male,22.22,24,2,108,19,yes,yes,20.59,,,,
Cat-2,Juno,male,22.43,24,2,107,25,no,yes,23.24,,,,
Cat-2,Juno,male,22.86,24,2,105,25,yes,yes,25.37,,,,
Cat-2,Juno,male,23.08,24,2,104,31,yes,yes,24.51,,,,
Cat-2,Juno,male,23.08,24,2,104,31,yes,yes,24.44,,,,
Cat-2,Juno,male,23.3,24,2,103,31,yes,yes,21.75,,,,
Cat-2,Juno,male,22.77,23,2,101,31,yes,yes,22,,,,
Cat-2,Juno,male,22.77,23,2,101,42,yes,yes,25.51,,,,
Cat-2,Juno,male,23,23,2,100,42,yes,yes,19.03,,,,
Cat-2,Juno,male,22.68,22,1,97,62,yes,yes,25.74,,,,
Cat-2,Juno,male,23.4,22,1,94,60,yes,yes,24.25,,,,
Cat-2,Kilo,female,21.67,307,1,1417,15,no,yes,20.92,,,,
Cat-2,Kilo,female,21.83,141,1,646,5,no,yes,19.5,,,,
Cat-2,Kilo,female,21.84,114,1,522,11,no,yes,19.6,,,,
Cat-2,Kilo,female,21.88,84,1,384,7,no,yes,20.7,,,,
Cat-2,Kilo,female,22.05,84,1,381,4,no,yes,20.63,,,,
Cat-2,Kilo,male,21.9,76,1,347,1,no,yes,25.84,,,,
Cat-2,Kilo,male,22.12,75,1,339,1,no,yes,18.75,,,,
Cat-2,Kilo,male,21.91,71,1,324,9,no,yes,19.02,,,,
Cat-2,Kilo,male,22.12,69,1,312,9,no,yes,24.61,,,,
Cat-2,Kilo,male,21.99,64,1,291,9,no,yes,21.83,,,,
Cat-2,Kilo,male,22.02,61,1,277,9,no,yes,23.56,,,,
Cat-2,Kilo,male,22.22,60,1,270,9,no,yes,21.62,,,,
Cat-2,Kilo,male,22.05,58,1,263,9,no,yes,21.47,,,,
Cat-2,Kilo,neutral,21.91,55,1,251,9,no,yes,20.62,,,,
Cat-2,Kilo,female,22.27,53,1,238,20,no,yes,22.44,,,,
Cat-2,Kilo,female,21.93,50,1,228,7,no,yes,22.03,,,,
Cat-2,Kilo,neutral,22.12,46,1,208,1,yes,yes,21.78,,,,
Cat-2,Kilo,neutral,22.16,43,1,194,11,yes,yes,23.39,,,,
Cat-2,Kilo,male,22.53,41,1,182,9,yes,yes,19.94,,,,
Cat-2,Kilo,male,22.53,41,1,182,12,yes,yes,24.81,,,,
Cat-2,Kilo,neutral,22.1,40,2,181,14,no,yes,19.58,,,,
Cat-2,Kilo,neutral,22.22,40,2,180,12,no,yes,7.98,,,,
Cat-2,Kilo,neutral,22.6,40,2,177,14,yes,yes,21.25,,,,
Cat-2,Kilo,neutral,22.73,40,2,176,9,yes,yes,22.1,,,,
Cat-2,Kilo,neutral,22.86,40,2,175,11,yes,yes,23.1,,,,
Cat-2,Kilo,neutral,22.86,40,2,175,9,yes,yes,46.98,,,,
Cat-2,Kilo,neutral,22.86,40,2,175,9,yes,yes,20.21,,,,
Cat-2,Kilo,male,22.41,39,1,174,6,yes,yes,24.92,,,,
Cat-2,Kilo,male,22.49,38,1,169,9,yes,yes,18.62,,,,
Cat-2,Kilo,male,22.02,37,1,168,5,yes,yes,21.01,,,,
Cat-2,Kilo,male,22.5,36,1,160,5,yes,yes,20.88,,,,
Cat-2,Kilo,male,22.44,35,1,156,11,yes,yes,20.42,,,,
Cat-2,Kilo,male,22.73,35,1,154,6,yes,yes,16.3,,,,
Cat-2,Kilo,male,22.88,35,1,153,9,yes,yes,25.3,,,,
Cat-2,Kilo,male,22.52,34,1,151,3,yes,yes,22.02,,,,
Cat-2,Kilo,male,22.82,34,1,149,9,yes,yes,21.34,,,,
Cat-2,Kilo,male,22.82,34,1,149,9,yes,yes,23.08,,,,
Cat-2,Kilo,male,22.82,34,1,149,11,yes,yes,20.38,,,,
Cat-2,Kilo,male,22.22,32,1,144,15,no,yes,19.8,,,,
Cat-2,Kilo,male,22.7,32,1,141,9,no,yes,22.52,,,,
Cat-2,Kilo,male,22.46,31,1,138,12,no,yes,20.5,,,,
Cat-2,Kilo,neutral,22.46,31,1,138,11,no,yes,19.89,,,,
Cat-2,Kilo,neutral,22.79,31,1,136,11,no,yes,21.34,,,,
Cat-2,Kilo,neutral,22.96,31,1,135,6,no,yes,21.2,,,,
Cat-2,Kilo,neutral,22.96,31,1,135,1,no,yes,9.97,,,,
Cat-2,Kilo,neutral,22.39,30,1,134,12,no,yes,24.14,,,,
Cat-2,Kilo,neutral,22.39,30,1,134,1,no,yes,23.95,,,,
Cat-2,Kilo,neutral,22.73,30,1,132,0,no,yes,19.93,,,,
Cat-2,Kilo,neutral,22.73,30,1,132,0,no,yes,51.12,,,,
Cat-2,Kilo,neutral,22.9,30,1,131,9,no,yes,21.39,,,,
Cat-2,Kilo,neutral,22.95,28,1,122,0,no,yes,20.65,,,,
Cat-2,Kilo,neutral,22.95,28,1,122,5,yes,yes,20.14,,,,
Cat-2,Kilo,male,23.28,27,1,116,1,yes,yes,23.24,,,,
Cat-2,Kilo,male,23.48,27,1,115,14,yes,yes,20.68,,,,
Cat-2,Kilo,male,23.48,27,1,115,0,yes,yes,20.98,,,,
Cat-2,Kilo,male,22.81,26,1,114,6,yes,yes,20.22,,,,
Cat-2,Kilo,male,23.01,26,1,113,1,yes,yes,17.57,,,,
Cat-2,Kilo,male,23.21,26,1,112,0,yes,yes,20.53,,,,
Cat-2,Kilo,male,23.21,26,1,112,9,no,yes,21.5,,,,
Cat-2,Kilo,neutral,22.52,25,1,111,0,yes,yes,22.1,,,,
