Categories,Events,Gender,SZZ,Buggy,Commits,SZZ_Cal,SZZ_count,,
Cat-2,Juno-14,female,72.9,140,641,22,35,,
Cat-2,Juno-14,female,9.43,109,500,22,25,,
Cat-2,Juno-14,male,31.98,109,495,22,22,,
Cat-2,Juno-14,neutral,7.98,96,438,22,25,,
Cat-2,Juno-14,neutral,21.13,90,409,22,24,,
Cat-2,Juno-14,neutral,44.67,73,334,22,35,,
Cat-2,Juno-14,male,23.11,58,260,22,25,,
Cat-2,Juno-14,neutral,24.1,53,240,22,22,,
Cat-2,Juno-14,neutral,24.75,52,234,22,25,,
Cat-2,Juno-14,neutral,21.76,50,226,22,24,,
Cat-2,Juno-14,neutral,11.21,50,225,22,22,,
Cat-2,Juno-14,female,25.7,49,219,22,22,,
Cat-2,Juno-14,neutral,26.48,49,219,22,22,,
Cat-2,Juno-14,neutral,42.65,48,217,22,22,,
Cat-2,Juno-14,neutral,23.2,48,217,22,22,,
Cat-2,Juno-14,neutral,22.18,44,198,22,22,,
Cat-2,Juno-14,female,20.72,42,186,23,9,,
Cat-2,Juno-14,female,19.42,41,184,22,22,,
Cat-2,Juno-14,male,26.23,40,177,23,23,,
Cat-2,Juno-14,male,50.3,40,176,23,23,,
Cat-2,Juno-14,male,21.5,39,172,23,23,,
Cat-2,Juno-14,male,24.64,38,171,22,22,,
Cat-2,Juno-14,male,23.52,37,166,22,22,,
Cat-2,Juno-14,male,20.58,36,161,22,22,,
Cat-2,Juno-14,male,26.34,35,156,22,22,,
Cat-2,Juno-14,male,6.98,35,155,23,23,,
Cat-2,Juno-14,male,20.06,35,154,23,23,,
Cat-2,Juno-14,male,22.07,35,154,23,23,,
Cat-2,Juno-14,male,22.45,35,152,23,23,,
Cat-2,Juno-14,male,20.14,35,152,23,23,,
Cat-2,Juno-14,neutral,27.62,35,152,23,23,,
Cat-2,Juno-14,neutral,22.31,34,150,23,23,,
Cat-2,Juno-14,neutral,21.84,34,150,23,23,,
Cat-2,Juno-14,male,22.91,33,146,23,23,,
Cat-2,Juno-14,male,27.67,32,142,23,23,,
Cat-2,Juno-14,male,22.57,32,141,23,23,,
Cat-2,Juno-14,male,23.33,32,140,23,23,,
Cat-2,Juno-14,neutral,22.28,32,140,23,23,,
Cat-2,Juno-14,neutral,27.36,30,134,22,22,,
Cat-2,Juno-14,neutral,23.08,30,132,23,23,,
Cat-2,Juno-14,male,24.49,30,132,23,23,,
Cat-2,Juno-14,male,18.71,29,128,23,23,,
Cat-2,Juno-14,male,24,29,126,23,23,,
Cat-2,Juno-14,neutral,20.12,28,124,23,23,,
Cat-2,Juno-14,neutral,22.81,27,119,23,23,,
Cat-2,Juno-14,male,22.53,27,119,23,23,,
Cat-2,Juno-14,neutral,22.52,27,116,23,23,,
Cat-2,Juno-14,neutral,20.18,27,116,23,23,,
Cat-2,Juno-14,male,25.11,26,113,23,23,,
Cat-2,Juno-14,male,24.87,25,111,23,23,,
Cat-2,Juno-14,male,20.59,24,108,22,22,,
Cat-2,Juno-14,male,23.24,24,107,22,22,,
Cat-2,Juno-14,male,25.37,24,105,23,23,,
Cat-2,Juno-14,male,24.51,24,104,23,23,,
Cat-2,Juno-14,male,24.44,24,104,23,23,,
Cat-2,Juno-14,male,21.75,24,103,23,23,,
Cat-2,Juno-14,male,22,23,101,23,23,,
Cat-2,Juno-14,male,25.51,23,101,23,23,,
Cat-2,Juno-14,male,19.03,23,100,23,23,,
Cat-2,Juno-14,male,25.74,22,97,23,23,,
Cat-2,Juno-14,male,24.25,22,94,23,23,,
Cat-2,KIlo-15,female,20.92,307,1417,22,41,,
Cat-2,KIlo-15,female,19.5,141,646,22,35,,
Cat-2,KIlo-15,female,19.6,114,522,22,25,,
Cat-2,KIlo-15,female,20.7,84,384,22,22,,
Cat-2,KIlo-15,female,20.63,84,381,22,25,,
Cat-2,KIlo-15,male,25.84,76,347,22,24,,
Cat-2,KIlo-15,male,18.75,75,339,22,12,,
Cat-2,KIlo-15,male,19.02,71,324,22,19,,
Cat-2,KIlo-15,male,24.61,69,312,22,23,,
Cat-2,KIlo-15,male,21.83,64,291,22,24,,
Cat-2,KIlo-15,male,23.56,61,277,22,35,,
Cat-2,KIlo-15,male,21.62,60,270,22,25,,
Cat-2,KIlo-15,male,21.47,58,263,22,22,,
Cat-2,KIlo-15,neutral,20.62,55,251,22,25,,
Cat-2,KIlo-15,female,22.44,53,238,22,24,,
Cat-2,KIlo-15,female,22.03,50,228,22,22,,
Cat-2,KIlo-15,neutral,21.78,46,208,22,22,,
Cat-2,KIlo-15,neutral,23.39,43,194,22,22,,
Cat-2,KIlo-15,male,19.94,41,182,23,23,,
Cat-2,KIlo-15,male,24.81,41,182,23,23,,
Cat-2,KIlo-15,neutral,19.58,40,181,22,22,,
Cat-2,KIlo-15,neutral,7.98,40,180,22,22,,
Cat-2,KIlo-15,neutral,21.25,40,177,23,23,,
Cat-2,KIlo-15,neutral,22.1,40,176,23,23,,
Cat-2,KIlo-15,neutral,23.1,40,175,23,23,,
Cat-2,KIlo-15,neutral,46.98,40,175,23,23,,
Cat-2,KIlo-15,neutral,20.21,40,175,23,23,,
Cat-2,KIlo-15,male,24.92,39,174,22,22,,
Cat-2,KIlo-15,male,18.62,38,169,22,22,,
Cat-2,KIlo-15,male,21.01,37,168,22,22,,
Cat-2,KIlo-15,male,20.88,36,160,23,23,,
Cat-2,KIlo-15,male,20.42,35,156,22,22,,
Cat-2,KIlo-15,male,16.3,35,154,23,23,,
Cat-2,KIlo-15,male,25.3,35,153,23,23,,
Cat-2,KIlo-15,male,22.02,34,151,23,23,,
Cat-2,KIlo-15,male,21.34,34,149,23,23,,
Cat-2,KIlo-15,male,23.08,34,149,23,23,,
Cat-2,KIlo-15,male,20.38,34,149,23,23,,
