Category,Events,Gender,SZZ,Buggy,Tech_Diversity,Commits,Core
Cat-2,Juno-14,female,21.84,140,15,641,3
Cat-2,Juno-14,male,21.8,109,5,500,3
Cat-2,Juno-14,male,22.02,109,5,495,3
Cat-2,Juno-14,neutral,21.92,96,5,438,2
Cat-2,Juno-14,neutral,22,90,5,409,2
Cat-2,Juno-14,neutral,21.86,73,10,334,2
Cat-2,Juno-14,male,22.31,58,10,260,2
Cat-2,Juno-14,neutral,22.08,53,10,240,2
Cat-2,Juno-14,neutral,22.22,52,5,234,1
Cat-2,Juno-14,neutral,22.12,50,10,226,2
Cat-2,Juno-14,neutral,22.22,50,10,225,2
Cat-2,Juno-14,female,22.37,49,5,219,1
Cat-2,Juno-14,neutral,22.37,49,5,219,1
Cat-2,Juno-14,neutral,22.12,48,5,217,1
Cat-2,Juno-14,neutral,22.12,48,5,217,1
Cat-2,Juno-14,neutral,22.22,44,5,198,1
Cat-2,Juno-14,female,22.58,42,5,186,1
Cat-2,Juno-14,female,22.28,41,5,184,1
Cat-2,Juno-14,male,22.6,40,5,177,1
Cat-2,Juno-14,male,22.73,40,5,176,1
Cat-2,Juno-14,male,22.67,39,5,172,1
Cat-2,Juno-14,male,22.22,38,5,171,1
Cat-2,Juno-14,male,22.29,37,10,166,2
Cat-2,Juno-14,male,22.36,36,5,161,2
Cat-2,Juno-14,male,22.44,35,5,156,2
Cat-2,Juno-14,male,22.58,35,5,155,2
Cat-2,Juno-14,male,22.73,35,5,154,2
Cat-2,Juno-14,male,22.73,35,5,154,2
Cat-2,Juno-14,male,23.03,35,5,152,2
Cat-2,Juno-14,male,23.03,35,5,152,2
Cat-2,Juno-14,neutral,23.03,35,5,152,2
Cat-2,Juno-14,neutral,22.67,34,10,150,2
Cat-2,Juno-14,neutral,22.67,34,5,150,2
Cat-2,Juno-14,male,22.6,33,5,146,2
Cat-2,Juno-14,male,22.54,32,5,142,2
Cat-2,Juno-14,male,22.7,32,5,141,2
Cat-2,Juno-14,male,22.86,32,5,140,2
Cat-2,Juno-14,neutral,22.86,32,5,140,2
Cat-2,Juno-14,neutral,22.39,30,5,134,2
Cat-2,Juno-14,neutral,22.73,30,5,132,2
Cat-2,Juno-14,male,22.73,30,10,132,2
Cat-2,Juno-14,male,22.66,29,5,128,2
Cat-2,Juno-14,male,23.02,29,5,126,2
Cat-2,Juno-14,neutral,22.58,28,5,124,2
Cat-2,Juno-14,neutral,22.69,27,5,119,2
Cat-2,Juno-14,male,22.69,27,10,119,2
Cat-2,Juno-14,neutral,23.28,27,10,116,2
Cat-2,Juno-14,neutral,23.28,27,10,116,2
Cat-2,Juno-14,male,23.01,26,10,113,2
Cat-2,Juno-14,male,22.52,25,5,111,2
Cat-2,Juno-14,male,22.22,24,5,108,2
Cat-2,Juno-14,male,22.43,24,5,107,2
Cat-2,Juno-14,male,22.86,24,10,105,2
Cat-2,Juno-14,male,23.08,24,10,104,2
Cat-2,Juno-14,male,23.08,24,10,104,2
Cat-2,Juno-14,male,23.3,24,10,103,2
Cat-2,Juno-14,male,22.77,23,10,101,2
Cat-2,Juno-14,male,22.77,23,10,101,2
Cat-2,Juno-14,male,23,23,10,100,2
Cat-2,Juno-14,male,22.68,22,5,97,1
Cat-2,Juno-14,male,23.4,22,5,94,1
Cat-2,KIlo-15,female,21.67,307,5,1417,1
Cat-2,KIlo-15,female,21.83,141,5,646,1
Cat-2,KIlo-15,female,21.84,114,5,522,1
Cat-2,KIlo-15,female,21.88,84,5,384,1
Cat-2,KIlo-15,female,22.05,84,5,381,1
Cat-2,KIlo-15,male,21.9,76,5,347,1
Cat-2,KIlo-15,male,22.12,75,5,339,1
Cat-2,KIlo-15,male,21.91,71,5,324,1
Cat-2,KIlo-15,male,22.12,69,5,312,1
Cat-2,KIlo-15,male,21.99,64,5,291,1
Cat-2,KIlo-15,male,22.02,61,5,277,1
Cat-2,KIlo-15,male,22.22,60,5,270,1
Cat-2,KIlo-15,male,22.05,58,5,263,1
Cat-2,KIlo-15,neutral,21.91,55,5,251,1
Cat-2,KIlo-15,female,22.27,53,5,238,1
Cat-2,KIlo-15,female,21.93,50,5,228,1
Cat-2,KIlo-15,neutral,22.12,46,5,208,1
Cat-2,KIlo-15,neutral,22.16,43,5,194,1
Cat-2,KIlo-15,male,22.53,41,5,182,1
Cat-2,KIlo-15,male,22.53,41,5,182,1
Cat-2,KIlo-15,neutral,22.1,40,10,181,2
Cat-2,KIlo-15,neutral,22.22,40,10,180,2
Cat-2,KIlo-15,neutral,22.6,40,10,177,2
Cat-2,KIlo-15,neutral,22.73,40,10,176,2
Cat-2,KIlo-15,neutral,22.86,40,10,175,2
